Stab,Knoten,x_m,Extremum,N_kN,Vy_kN,Vz_kN,Lastfall
10101,1516,0,N,0.256562,-0.002222,74.526283,LK71
10101,1516,0,N,0.088193,0.001121,37.528339,LK3
10101,1516,0,Vy,0.166325,0.004077,37.492489,LK9
10101,1516,0,Vy,0.177617,-0.008869,63.484539,LK31
10101,1516,0,Vz,0.214763,-0.004624,74.578239,LK65
10101,1516,0,Vz,0.174088,0.00102,37.461109,LK58
10101,1516,0,MT,0.188322,-0.007465,63.465424,LK12
10101,1516,0,MT,0.155618,0.002665,37.511608,LK41
10101,1516,0,My,0.163464,-0.002306,37.574909,LK35
10101,1516,0,My,0.162506,0.000936,63.393467,LK11
10101,1516,0,Mz,0.154622,0.004068,37.524193,LK5
10101,1516,0,Mz,0.189318,-0.008868,63.452839,LK16
10101,1929,3.84989767685394,N,2.5e-05,-0.000443,-81.152687,LK11
10101,1929,3.84989767685394,N,-1.7e-05,0.000458,-47.87904,LK35
10101,1929,3.84989767685394,Vy,5e-06,0.003934,-47.887249,LK39
10101,1929,3.84989767685394,Vy,2e-05,-0.002299,-81.149353,LK13
10101,1929,3.84989767685394,Vz,1.2e-05,-0.001622,-47.810619,LK21
10101,1929,3.84989767685394,Vz,1.7e-05,0.001836,-95.495682,LK65
10101,1929,3.84989767685394,MT,1.8e-05,-0.001652,-81.143974,LK17
10101,1929,3.84989767685394,MT,8e-06,0.003306,-47.89262,LK4
10101,1929,3.84989767685394,My,1.9e-05,-0.000408,-47.819328,LK7
10101,1929,3.84989767685394,My,-1.1e-05,0.000422,-81.212395,LK27
10101,1929,3.84989767685394,Mz,5e-06,0.003934,-47.887249,LK39
10101,1929,3.84989767685394,Mz,2e-05,-0.002299,-81.149353,LK13
10102,1930,0,N,0.590302,-0.072895,144.628998,LK10
10102,1930,0,N,-0.11044,-0.00788,85.744896,LK37
10102,1930,0,Vy,-0.101832,-0.007871,85.738998,LK3
10102,1930,0,Vy,0.581655,-0.072903,144.634903,LK14
10102,1930,0,Vz,0.208746,-0.045889,170.018005,LK72
10102,1930,0,Vz,0.458403,-0.052465,85.615524,LK34
10102,1930,0,MT,0.251768,-0.048223,85.704002,LK4
10102,1930,0,MT,0.369759,-0.047701,144.672211,LK17
10102,1930,0,My,0.469377,-0.05495,85.639297,LK18
